2022/04/30 00:56:59 [error] 17436#13748: *1 CreateFile() "C:\Users\cretix\Documents\dev\web\nginx-1.20.2/html/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2022/04/30 01:01:50 [error] 15756#20308: *2 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.1", upstream: "http://[::1]:5678/", host: "localhost"
2022/04/30 01:01:50 [error] 15756#20308: *2 CreateFile() "C:/srv/www/assets/bootstrap-5.0.2/css/bootstrap.min.css" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /static/bootstrap-5.0.2/css/bootstrap.min.css HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2022/04/30 01:01:50 [error] 15756#20308: *2 CreateFile() "C:/srv/www/assets/style/style.css" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /static/style/style.css HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2022/04/30 01:01:50 [error] 15756#20308: *5 CreateFile() "C:/srv/www/assets/style/map.css" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /static/style/map.css HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2022/04/30 01:01:50 [error] 15756#20308: *5 CreateFile() "C:/srv/www/assets/icons/logo1.svg" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /static/icons/logo1.svg HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2022/04/30 01:01:50 [error] 15756#20308: *5 CreateFile() "C:/srv/www/assets/icons/logo2.svg" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /static/icons/logo2.svg HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2022/04/30 01:01:50 [error] 15756#20308: *5 CreateFile() "C:/srv/www/assets/images/Solikamsk/city.png" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /static/images/Solikamsk/city.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2022/04/30 01:01:50 [error] 15756#20308: *5 CreateFile() "C:/srv/www/assets/images/Solikamsk/sp-1.png" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /static/images/Solikamsk/sp-1.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2022/04/30 01:01:50 [error] 15756#20308: *5 CreateFile() "C:/srv/www/assets/images/Solikamsk/sp-2.png" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /static/images/Solikamsk/sp-2.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2022/04/30 01:01:50 [error] 15756#20308: *5 CreateFile() "C:/srv/www/assets/images/Solikamsk/sp-3.png" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /static/images/Solikamsk/sp-3.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2022/04/30 01:01:50 [error] 15756#20308: *5 CreateFile() "C:/srv/www/assets/images/Solikamsk/sp-4.png" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /static/images/Solikamsk/sp-4.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2022/04/30 01:01:50 [error] 15756#20308: *5 CreateFile() "C:/srv/www/assets/images/Solikamsk/sp-5.png" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /static/images/Solikamsk/sp-5.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2022/04/30 01:01:50 [error] 15756#20308: *5 CreateFile() "C:/srv/www/assets/images/Solikamsk/sp-6.png" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /static/images/Solikamsk/sp-6.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2022/04/30 01:01:50 [error] 15756#20308: *5 CreateFile() "C:/srv/www/assets/images/Solikamsk/sp-7.png" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /static/images/Solikamsk/sp-7.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2022/04/30 01:01:50 [error] 15756#20308: *2 CreateFile() "C:/srv/www/assets/images/Solikamsk/sp-8.png" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /static/images/Solikamsk/sp-8.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2022/04/30 01:01:50 [error] 15756#20308: *5 CreateFile() "C:/srv/www/assets/images/Solikamsk/sp-9.png" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /static/images/Solikamsk/sp-9.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2022/04/30 01:01:50 [error] 15756#20308: *5 CreateFile() "C:/srv/www/assets/images/Solikamsk/sp-10.png" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /static/images/Solikamsk/sp-10.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2022/04/30 01:01:50 [error] 15756#20308: *5 CreateFile() "C:/srv/www/assets/images/Solikamsk/sp-11.png" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /static/images/Solikamsk/sp-11.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2022/04/30 01:01:50 [error] 15756#20308: *5 CreateFile() "C:/srv/www/assets/images/Solikamsk/sp-12.png" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /static/images/Solikamsk/sp-12.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
